job_id,job_title,company_name,location,employment_type,experience_level,department,salary_range,job_description,responsibilities,requirements,preferred_qualifications,required_skills,preferred_skills,status
JD-234163,DevOps Lead,Flipkart,"Mumbai, India",Full-time,Mid Level,Cloud & Infrastructure,?6–12 LPA,The candidate will help translate requirements into effective technical implementations.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-164153,DevOps Lead,Paytm,"Noida, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-535029,DevOps Lead,Wipro,"Hyderabad, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,This role supports continuous improvement of applications within the DevOps Lead domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Not Active
JD-258733,Cloud Engineer (DevOps),NextGen Software Labs,"Noida, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,The role involves working across development cycles from design to deployment.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with AWS, CloudFormation, Lambda","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",AWS; CloudFormation; Lambda; Python,CI/CD; Monitoring,Active
JD-214705,Cloud Engineer (DevOps),Wipro,"Bengaluru, India",Contract,Mid Level,Cloud & Infrastructure,?6–12 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with AWS, CloudFormation, Lambda",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,AWS; CloudFormation; Lambda; Python,CI/CD; Monitoring,Active
JD-755687,Cloud Engineer (DevOps),Capgemini India,"Noida, India",Contract,Senior Level,Cloud & Infrastructure,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with AWS, CloudFormation, Lambda",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,AWS; CloudFormation; Lambda; Python,CI/CD; Monitoring,Active
JD-921316,Cloud Engineer (DevOps),Infosys,"Pune, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,The candidate will help translate requirements into effective technical implementations.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with AWS, CloudFormation, Lambda",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,AWS; CloudFormation; Lambda; Python,CI/CD; Monitoring,Active
JD-251352,Site Reliability Engineer,Zoho Corporation,"Bengaluru, India",Contract,Entry Level,Engineering,?3–6 LPA,The position contributes to scalable and production-ready software development.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Linux, Python, Go","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Linux; Python; Go; Observability,Automation; Incident Response,Active
JD-277985,Site Reliability Engineer,Wipro,"Bengaluru, India",Full-time,Mid Level,Engineering,?6–12 LPA,The role involves working across development cycles from design to deployment.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Linux, Python, Go",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Linux; Python; Go; Observability,Automation; Incident Response,Active
JD-196598,Site Reliability Engineer,Zoho Corporation,"Bengaluru, India",Full-time,Senior Level,Engineering,?12–22 LPA,The candidate will help translate requirements into effective technical implementations.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Linux, Python, Go",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Linux; Python; Go; Observability,Automation; Incident Response,Active
JD-535239,Site Reliability Engineer,Flipkart,"Hyderabad, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,The position contributes to scalable and production-ready software development.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Linux, Python, Go",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Linux; Python; Go; Observability,Automation; Incident Response,Active
JD-100756,DevOps Engineer (Fresher),Accenture India,"Hyderabad, India",Contract,Entry Level,Cloud & Infrastructure,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with GitLab CI, Docker, AWS","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",GitLab CI; Docker; AWS; Python,Prometheus Basics; Linux,Active
JD-788258,DevOps Engineer (Fresher),Flipkart,"Pune, India",Full-time,Mid Level,Cloud & Infrastructure,?6–12 LPA,The candidate will help translate requirements into effective technical implementations.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with GitLab CI, Docker, AWS",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,GitLab CI; Docker; AWS; Python,Prometheus Basics; Linux,Active
JD-971460,DevOps Engineer (Fresher),Paytm,"Mumbai, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with GitLab CI, Docker, AWS",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,GitLab CI; Docker; AWS; Python,Prometheus Basics; Linux,Active
JD-944572,DevOps Engineer (Fresher),Wipro,"Mumbai, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with GitLab CI, Docker, AWS",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,GitLab CI; Docker; AWS; Python,Prometheus Basics; Linux,Active
JD-396012,DevOps Engineer (Fresher),Paytm,"Bengaluru, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Python, Docker, Kubernetes Basics","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Python; Docker; Kubernetes Basics; Ansible,GitHub Actions; CI/CD,Active
JD-865492,DevOps Engineer (Fresher),CloudNova Technologies,"Pune, India",Contract,Mid Level,Cloud & Infrastructure,?6–12 LPA,The candidate will help translate requirements into effective technical implementations.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Python, Docker, Kubernetes Basics",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Python; Docker; Kubernetes Basics; Ansible,GitHub Actions; CI/CD,Active
JD-645172,DevOps Engineer (Fresher),Flipkart,"Chennai, India",Contract,Senior Level,Cloud & Infrastructure,?12–22 LPA,This role supports continuous improvement of applications within the DevOps Engineer (Fresher) domain.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Python, Docker, Kubernetes Basics",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Python; Docker; Kubernetes Basics; Ansible,GitHub Actions; CI/CD,Active
JD-492975,DevOps Engineer (Fresher),CloudNova Technologies,"Mumbai, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Python, Docker, Kubernetes Basics",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Python; Docker; Kubernetes Basics; Ansible,GitHub Actions; CI/CD,Active
JD-932773,DevOps Lead,HCL Technologies,"Mumbai, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,This role supports continuous improvement of applications within the DevOps Lead domain.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-975958,DevOps Lead,HCL Technologies,"Mumbai, India",Contract,Mid Level,Cloud & Infrastructure,?6–12 LPA,The role involves working across development cycles from design to deployment.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-604130,DevOps Lead,Freshworks,"Noida, India",Contract,Senior Level,Cloud & Infrastructure,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-956675,DevOps Lead,Paytm,"Hyderabad, India",Contract,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Automation Strategy, Jenkins, Azure DevOps",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Automation Strategy; Jenkins; Azure DevOps; Security Pipelines,Monitoring,Active
JD-375570,Senior DevOps Engineer,Flipkart,"Hyderabad, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Kubernetes, Terraform, GitOps","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Kubernetes; Terraform; GitOps; Service Mesh,Team Lead; Strategy,Active
JD-639482,Senior DevOps Engineer,Capgemini India,"Pune, India",Full-time,Mid Level,Cloud & Infrastructure,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Kubernetes, Terraform, GitOps",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Kubernetes; Terraform; GitOps; Service Mesh,Team Lead; Strategy,Active
JD-611028,Senior DevOps Engineer,Flipkart,"Hyderabad, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Kubernetes, Terraform, GitOps",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Kubernetes; Terraform; GitOps; Service Mesh,Team Lead; Strategy,Active
JD-375632,Senior DevOps Engineer,TCS,"Noida, India",Contract,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Kubernetes, Terraform, GitOps",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Kubernetes; Terraform; GitOps; Service Mesh,Team Lead; Strategy,Active
JD-669711,DevOps Intern,Wipro,"Bengaluru, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,The candidate will help translate requirements into effective technical implementations.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Terraform Basics, Nginx, Linux","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Terraform Basics; Nginx; Linux; System Health Checks,Communication,Active
JD-226120,DevOps Intern,Flipkart,"Gurgaon, India",Contract,Mid Level,Cloud & Infrastructure,?6–12 LPA,This role supports continuous improvement of applications within the DevOps Intern domain.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Terraform Basics, Nginx, Linux",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Terraform Basics; Nginx; Linux; System Health Checks,Communication,Active
JD-421944,DevOps Intern,Freshworks,"Hyderabad, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,This role supports long-term platform evolution and stability.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Terraform Basics, Nginx, Linux",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Terraform Basics; Nginx; Linux; System Health Checks,Communication,Active
JD-959860,DevOps Intern,Flipkart,"Mumbai, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Terraform Basics, Nginx, Linux",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Terraform Basics; Nginx; Linux; System Health Checks,Communication,Active
JD-308328,FinOps DevOps Engineer,NextGen Software Labs,"Gurgaon, India",Contract,Entry Level,Cloud & Infrastructure,?3–6 LPA,This role supports long-term platform evolution and stability.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Cost Management, Spot Instances, Rightsizing","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Cost Management; Spot Instances; Rightsizing; AWS Cost Explorer,Additional role-relevant tools,Active
JD-259143,FinOps DevOps Engineer,Paytm,"Noida, India",Full-time,Mid Level,Cloud & Infrastructure,?6–12 LPA,This role supports long-term platform evolution and stability.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Cost Management, Spot Instances, Rightsizing",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Cost Management; Spot Instances; Rightsizing; AWS Cost Explorer,Additional role-relevant tools,Active
JD-341616,FinOps DevOps Engineer,NextGen Software Labs,"Chennai, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Cost Management, Spot Instances, Rightsizing",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Cost Management; Spot Instances; Rightsizing; AWS Cost Explorer,Additional role-relevant tools,Active
JD-813447,FinOps DevOps Engineer,Wipro,"Gurgaon, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,This role supports continuous improvement of applications within the FinOps DevOps Engineer domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Cost Management, Spot Instances, Rightsizing",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Cost Management; Spot Instances; Rightsizing; AWS Cost Explorer,Additional role-relevant tools,Active
JD-739280,Senior DevOps Engineer,Zoho Corporation,"Noida, India",Full-time,Entry Level,Cloud & Infrastructure,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with SRE, Architecture, Capacity Planning","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",SRE; Architecture; Capacity Planning; Incident Management,Python; Go,Active
JD-520345,Senior DevOps Engineer,Accenture India,"Hyderabad, India",Contract,Mid Level,Cloud & Infrastructure,?6–12 LPA,The candidate will help translate requirements into effective technical implementations.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with SRE, Architecture, Capacity Planning",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,SRE; Architecture; Capacity Planning; Incident Management,Python; Go,Active
JD-242732,Senior DevOps Engineer,NextGen Software Labs,"Pune, India",Full-time,Senior Level,Cloud & Infrastructure,?12–22 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with SRE, Architecture, Capacity Planning",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,SRE; Architecture; Capacity Planning; Incident Management,Python; Go,Active
JD-682753,Senior DevOps Engineer,CloudNova Technologies,"Pune, India",Full-time,Lead / Architect,Cloud & Infrastructure,?22–40 LPA,The position contributes to scalable and production-ready software development.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with SRE, Architecture, Capacity Planning",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,SRE; Architecture; Capacity Planning; Incident Management,Python; Go,Active
JD-170060,AI Infrastructure Engineer,Infosys,"Noida, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,This role supports continuous improvement of applications within the AI Infrastructure Engineer domain.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-962392,AI Infrastructure Engineer,Wipro,"Noida, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,This position contributes to performance optimization and feature delivery.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-777468,AI Infrastructure Engineer,Zoho Corporation,"Hyderabad, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-173957,AI Infrastructure Engineer,HCL Technologies,"Pune, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-875584,AI Infrastructure Engineer,Paytm,"Gurgaon, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-804892,AI Infrastructure Engineer,Accenture India,"Noida, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,This role focuses on developing and maintaining scalable AI Infrastructure Engineer solutions for real-world applications.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-645909,AI Infrastructure Engineer,Accenture India,"Chennai, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-792502,AI Infrastructure Engineer,Freshworks,"Pune, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This role supports long-term platform evolution and stability.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Kubernetes, GPU Orchestration, InfiniBand",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Kubernetes; GPU Orchestration; InfiniBand; Storage Systems,Python,Active
JD-576438,Systems Engineering Intern,Wipro,"Bengaluru, India",Contract,Entry Level,Engineering,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Linux Basics, Windows Server Basics, Virtualization","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Linux Basics; Windows Server Basics; Virtualization; Bash,Troubleshooting,Not Active
JD-142961,Systems Engineering Intern,Zoho Corporation,"Noida, India",Contract,Mid Level,Engineering,?6–12 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Linux Basics, Windows Server Basics, Virtualization",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Linux Basics; Windows Server Basics; Virtualization; Bash,Troubleshooting,Active
JD-546599,Systems Engineering Intern,Paytm,"Mumbai, India",Contract,Senior Level,Engineering,?12–22 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Linux Basics, Windows Server Basics, Virtualization",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Linux Basics; Windows Server Basics; Virtualization; Bash,Troubleshooting,Active
JD-208055,Systems Engineering Intern,TCS,"Gurgaon, India",Contract,Lead / Architect,Engineering,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Linux Basics, Windows Server Basics, Virtualization",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Linux Basics; Windows Server Basics; Virtualization; Bash,Troubleshooting,Active
JD-797209,Systems Engineering Intern,Freshworks,"Noida, India",Contract,Entry Level,Engineering,?3–6 LPA,This position contributes to performance optimization and feature delivery.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Networking Fundamentals, PC Hardware, Scripting","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Networking Fundamentals; PC Hardware; Scripting; Active Directory,Git,Active
JD-210299,Systems Engineering Intern,Accenture India,"Noida, India",Contract,Mid Level,Engineering,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Networking Fundamentals, PC Hardware, Scripting",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Networking Fundamentals; PC Hardware; Scripting; Active Directory,Git,Active
JD-444802,Systems Engineering Intern,Zoho Corporation,"Gurgaon, India",Contract,Senior Level,Engineering,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Networking Fundamentals, PC Hardware, Scripting",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Networking Fundamentals; PC Hardware; Scripting; Active Directory,Git,Active
JD-206043,Systems Engineering Intern,NextGen Software Labs,"Noida, India",Contract,Lead / Architect,Engineering,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Networking Fundamentals, PC Hardware, Scripting",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Networking Fundamentals; PC Hardware; Scripting; Active Directory,Git,Active
